country_name,2019,2020,2021,2022,Extra_notes,last_full_year
Algeria,1.951768211,2.415130941,7.226063074,9.265515516,,2022
Angola,17.07970441,22.27156431,25.75426565,,,2021
Benin,-0.7050266345,3.022721197,1.733539627,1.350778636,,2022
Botswana,2.772864429,1.890359168,7.240977656,11.66556748,,2022
Burkina Faso,-3.23338934,1.884439938,3.653532872,14.29023543,,2022
Burundi,-0.6867721708,7.321106434,8.404538451,18.80087867,,2022
Cabo Verde,1.106666743,0.6057958084,1.862152975,,,2021
Cameroon,2.452802141,2.437608822,2.271857625,6.247677133,,2022
Central African Republic,2.685373553,1.710156595,4.259364175,5.583167352,,2022
Chad,-0.9719391754,4.464144372,-0.7728443704,5.788026878,,2022
Comoros,#N/A,#N/A,#N/A,#N/A,,
Côte d'Ivoire,-1.10686344,2.425006568,4.091951897,5.276167243,,2022
Democratic Republic of the Congo,#N/A,#N/A,#N/A,#N/A,,
Djibouti,3.319253727,1.777407838,1.181917753,5.17980848,,2022
Egypt,9.152799593,5.04493289,5.214049405,13.89566098,,2022
Equatorial Guinea,1.53027529,4.766695239,-0.09710076646,4.786717047,,2022
Eswatini,2.598016203,,,,,2019
Ethiopia,15.80963217,20.35634686,26.83952216,,,2021
Gabon,2.464567562,1.352761107,1.086907465,4.231247983,,2022
Ghana,7.143640033,9.887289563,9.971088675,31.2558951,,2022
Guinea,9.470010393,10.60162034,12.59728826,10.493041,,2022
Guinea-Bissau,0.2466002681,1.140009394,2.242488796,9.393838775,,2022
Kenya,5.235859994,5.404814672,6.110909164,7.656874561,,2022
Lesotho,5.187083592,4.978096763,6.04774592,8.271803899,,2022
Liberia,#N/A,#N/A,#N/A,#N/A,,
Libya,#N/A,#N/A,#N/A,#N/A,,
Madagascar,5.610514415,4.201793122,5.812251188,8.16059032,,2022
Malawi,9.370836056,8.625514697,9.330144108,20.95396973,,2022
Mali,-1.658266948,0.4380889403,3.925602831,,,2021
Mauritania,2.300092621,2.385694885,3.565164847,9.525266286,,2022
Mauritius,0.4056551903,2.580800772,4.028528882,10.77375122,,2022
Morocco,0.3033860366,0.7059686613,1.40195884,6.657042028,,2022
Mozambique,2.802703079,3.483935675,6.40847653,10.27940181,,2022
Namibia,3.722394144,2.209382369,3.616905301,6.081281141,,2022
Niger,-2.489792651,2.89819376,3.837868028,4.226217919,,2022
Nigeria,11.39642234,13.24602343,16.95284572,,,2021
Republic of Congo,2.206073058,1.795371471,1.715642755,3.043443347,,2022
Rwanda,3.34787655,9.850399023,-0.3913467483,17.68920956,,2022
São Tomé and Príncipe,7.720245252,9.819327915,8.137770384,18.00563511,,2022
Senegal,1.760111512,2.543146857,2.180322781,9.696818991,,2022
Seychelles,2.074764365,8.276858114,,,,2020
Sierra Leone,14.80499909,13.44687111,11.87395888,27.20828838,,2022
Somalia,4.708556589,4.113129818,4.624900389,6.779276233,,2022
South Africa,4.12024587,3.210035975,4.611672178,7.039726613,Note: StatsSA reports monthly inflation using urban areas only. These numbers are for national CPI change.,2022
South Sudan,87.24136415,29.67584355,10.51671583,-6.687320942,,2022
Sudan,50.9940515,150.3227239,382.8159983,138.8084602,,2022
Tanzania,3.46428058,3.290290628,3.690919588,4.350272043,,2022
The Gambia,7.115676256,5.931276366,7.370347589,11.51311984,,2022
Togo,0.6746527701,1.699284633,4.186215065,7.967573616,,2022
Tunisia,6.720075329,5.634151159,5.706350208,8.306461244,,2022
Uganda,2.867588034,3.313322895,2.204572048,7.19578886,,2022
Zambia,9.150316443,15.73306047,22.02076762,10.99320392,,2022
Zimbabwe,255.3049908,557.2018174,98.54610509,104.7051706,Note: Zimbabwe has two inflation rates due to its dual currency. This is for prices in Zimbabwe Dollars.,2022
